Category,snafu_animal,in_vocab,Item,levenstein_distance
Bird,shearwater,TRUE,shearwater,0
Bird,shrike,TRUE,shrike,0
Asian,fisheagle,FALSE,fish eagle,1
Bird,snipe,TRUE,snipe,0
Asian,flyingsnake,FALSE,flying snake,1
Bird,songbird,TRUE,songbird,0
Bird,sparrow,TRUE,sparrow,0
Bird,spoonbill,TRUE,spoonbill,0
Bird,squab,TRUE,squab,0
Bird,starling,TRUE,starling,0
Asian,fruitbat,FALSE,fruit bat,1
Bird,stilt,TRUE,stilt,0
Bird,stork,TRUE,stork,0
Asian,giantpanda,FALSE,giant panda,1
Bird,swallow,TRUE,swallow,0
Bird,swallowtail,TRUE,swallowtail,0
Bird,swan,TRUE,swan,0
Bird,swift,TRUE,swift,0
Bird,tanager,TRUE,tanager,0
Bird,thrush,TRUE,thrush,0
Bird,toucan,TRUE,toucan,0
Bird,trumpeter,TRUE,trumpeter,0
Bird,turkey,TRUE,turkey,0
Bird,turtledove,TRUE,turtledove,0
Bird,vulture,TRUE,vulture,0
Bird,warbler,TRUE,warbler,0
Bird,waxwing,TRUE,waxwing,0
Bird,woodpecker,TRUE,woodpecker,0
Bird,wren,TRUE,wren,0
Bovine,auroch,TRUE,auroch,0
Bovine,bison,TRUE,bison,0
Bovine,bovine,TRUE,bovine,0
Bovine,buffalo,TRUE,buffalo,0
Bovine,bullock,TRUE,bullock,0
Asian,huntsmanspider,FALSE,huntsman spider,1
Bovine,calf,TRUE,calf,0
Asian,redpanda,FALSE,red panda,1
Bovine,cattle,TRUE,cattle,0
Bovine,cow,TRUE,cow,0
Bovine,heifer,TRUE,heifer,0
Bovine,longhorn,TRUE,longhorn,0
Bovine,muskox,TRUE,muskox,0
Bovine,oxen,TRUE,oxen,0
Bovine,steer,TRUE,steer,0
Asian,rhesusmacaque,FALSE,rhesus macaque,1
Bovine,yak,TRUE,yak,0
Canine,aardwolf,TRUE,aardwolf,0
Asian,sandcat,FALSE,sand cat,1
Asian,seasnake,FALSE,sea snake,1
Asian,siberiantiger,FALSE,siberian tiger,1
Canine,akita,TRUE,akita,0
Asian,sunbear,FALSE,sun bear,1
Canine,beagle,TRUE,beagle,0
Australian,bilbie,FALSE,bilbies,1
Australian,huntsmanspider,FALSE,huntsman spider,1
Canine,bloodhound,TRUE,bloodhound,0
Australian,redkangaroo,FALSE,red kangaroo,1
Canine,boxer,TRUE,boxer,0
Canine,bulldog,TRUE,bulldog,0
Canine,bullmastiff,TRUE,bullmastiff,0
Canine,canine,TRUE,canine,0
Australian,sugarglider,FALSE,sugar glider,1
Canine,chihuahua,TRUE,chihuahua,0
Canine,chinook,TRUE,chinook,0
Australian,tammarwallaby,FALSE,tammar wallaby,1
Australian,tasmaniandevil,FALSE,tasmanian devil,1
Canine,collie,TRUE,collie,0
Canine,corgi,TRUE,corgi,0
Canine,coyote,TRUE,coyote,0
Canine,dachshund,TRUE,dachshund,0
Canine,dalmatian,TRUE,dalmatian,0
BeastsOfBurden,scottishshetland,FALSE,scottish shetland,1
Canine,dog,TRUE,dog,0
Bird,adeliepenguin,FALSE,adelie penguin,1
Canine,fox,TRUE,fox,0
Canine,foxhound,TRUE,foxhound,0
Bird,baldeagle,FALSE,bald eagle,1
Bird,black-cappedchickadee,FALSE,black-capped chickadee,1
Canine,goldendoodle,TRUE,goldendoodle,0
Bird,bluefootedbooby,FALSE,bluefooted booby,1
Canine,graywolf,TRUE,graywolf,0
Bird,blueheron,FALSE,blue heron,1
Bird,bluejay,FALSE,blue jay,1
Canine,greyhound,TRUE,greyhound,0
Canine,harrier,TRUE,harrier,0
Canine,hound,TRUE,hound,0
Canine,husky,TRUE,husky,0
Canine,hyena,TRUE,hyena,0
Canine,jackal,TRUE,jackal,0
Canine,kitfox,TRUE,kitfox,0
Bird,double-crestedcormorant,FALSE,double-crested cormorant,1
Bird,fisheagle,FALSE,fish eagle,1
Canine,malamute,TRUE,malamute,0
Canine,maltese,TRUE,maltese,0
Bird,goldeneagle,FALSE,golden eagle,1
Canine,pitbull,TRUE,pitbull,0
Canine,pomeranian,TRUE,pomeranian,0
Canine,poodle,TRUE,poodle,0
Bird,hornedowl,FALSE,horned owl,1
Canine,pug,TRUE,pug,0
Canine,puggle,TRUE,puggle,0
Canine,pup,TRUE,pup,0
Bird,mourningdove,FALSE,mourning dove,1
Bird,prairiechicken,FALSE,prairie chicken,1
Canine,schnauzer,TRUE,schnauzer,0
Bird,sandhillcrane,FALSE,sandhill crane,1
Bird,scarletmacaw,FALSE,scarlet macaw,1
Bird,scrubjay,FALSE,scrub jay,1
Canine,terrier,TRUE,terrier,0
Bird,snowyowl,FALSE,snowy owl,1
Canine,whippet,TRUE,whippet,0
Bird,stellersjay,FALSE,steller jay,1
Bird,sunconure,FALSE,sun conure,1
Canine,wolf,TRUE,wolf,0
Canine,wolfhound,TRUE,wolfhound,0
Bovine,bulls,FALSE,bull,1
Bovine,capebuffalo,FALSE,cape buffalo,1
Deers,buck,TRUE,buck,0
Deers,caribou,TRUE,caribou,0
Deers,deer,TRUE,deer,0
Bovine,waterbuffalo,FALSE,water buffalo,1
Deers,doe,TRUE,doe,0
Deers,eland,TRUE,eland,0
Deers,elk,TRUE,elk,0
Deers,fawn,TRUE,fawn,0
